Timestamp,What is your discord name?,Aurorian number?,(Optional) Include any socials:,Describe your overall vision for the DAOry,"If running for councilor: What domain or role(s) bests fit your strengths, experience, and interests?","Describe your experience, goal, approach and/or qualifications for the Councilor role(s) you selected above - please go into details for each selection:","If interested, enter ""Yes, "" and please describe why you may be qualified to be an advisor, and what you hope to contribute to the DAOry

"
3/5/2026 5:39:04,chocoopanda,3001,https://x.com/chocoo_web3,"DAOry actually is a mix of investors and gamers. I want to stop with that because we aren't going anywhere.

Instead I want it to be focused on the gaming aspect which means create tournaments, sponsorise community initiative and find the best way to get gamers on the game (stream, tiktok etc..)","Community & Outreach: Focused on brand expansion, social media strategies, gamer engagement, and event planning.","I am a councilor since multiple mandats, I went from Community branch to DAO Structure branch. Today, I feel like our structure is fine, we all understand how it works and the process.

However, we should put more energy into building gaming experiences and stop with the ""investors wanna-be"". 

That's why I want to go back to Community branch, bring contest, create events, spice up tournaments and eventually create IRL collectible",
3/6/2026 18:14:39,Kandaroshi,#3027,Kandaroshi,"My vision for the DAOry is to position it as a long-term pillar of the Aurory community, focused on strengthening the relationship between the project and its most committed users.

We are currently in a transition phase for the game and the ecosystem. In moments like this, the DAO should focus less on short-term visibility and more on reinforcing the core community that already believes in the project, especially Aurorian holders, active players, and long-term supporters.

I believe the DAOry should adopt a slightly less conservative and more redistributive approach toward its community. Events, tournaments, incentives, and community-driven initiatives are powerful tools to keep engagement high while the project evolves.

At the same time, we already have strong infrastructure available. The DAOry website, platforms like Amiko.gg, and other community tools make it possible to organize events and initiatives efficiently. Leveraging these resources more consistently can help transform the DAO into a real hub for community interaction.

Additionally, the DAOry should aim to become a reliable and authoritative reference point for everything related to Aurory. Whether it is information about the game, early insights into upcoming features, or data and analysis related to the project’s economy, the DAO should help the community stay informed and connected to the ecosystem.

Ultimately, my goal is for the DAOry to act as a bridge between the Aurory team and the community, maintaining alignment, supporting engagement, and ensuring that the most dedicated members of the ecosystem continue to feel involved in the project’s future.","Community & Outreach: Focused on brand expansion, social media strategies, gamer engagement, and event planning.",,"Yes, I'm Kandaroshi and I served as an Advisor during the last term after previously holding the role of Head of Community.

As an Advisor, I consistently brought forward the questions and concerns raised by members of the community during council meetings in order to provide clear answers and necessary clarifications.

Leveraging my experience, I also contributed by stress-testing ideas proposed by both the community and the council. Whenever certain proposals or initiatives appeared unclear or inefficient, I worked together with councillors or other community members to refine them and improve their structure.

The Advisor role allows me to actively discuss the ideas being proposed and offer my perspective on the various topics addressed by the council. I believe anyone within the DAO can confirm the consistency and value of my contribution to these discussions."
3/8/2026 9:56:13,Erismaerd,#9988,https://x.com/erismaerd,"I still aim to see this DAO as one of the Top DAO among Solana, especially the gaming ecosystem. During the next term the most focus should lay on one thing: Building!
Building with Amiko GG and other tools for a very attractive structure for gaming, esports and future PVE competitions. We as the Daory, the home of Aurorians, are here to maximise the Aurory experience for the NFT Holders. 
Basically it didn´t change at all. ","Community & Outreach: Focused on brand expansion, social media strategies, gamer engagement, and event planning.","A bit more precisely than last time, I definitely know what kind of fitting role, approach and goals I have in mind for this upcoming term:
As the Head of Community, the last term on the DAO, I just do not have a good experience and history on this position throughout the last events and work up with Amiko GG, i am even more then just ready to work on top that structure i internally build me up to be efficient on the DAO for the Aurorians community. 

The goals for this term are in line with the overall vision of the DAOry. The one word to describe it would be BUILDING! The DAOry worked the last term together with Gummer and the Amiko GG team to build more tournaments. I definitely want to push more in this field to achieve a great tool. We Crypto degens kinda all believe in a 4y cycle, so we all know what will await us this year. So my approach is simple. First we should try to cut our expenses to the absolute needable so we can use unwise funds on more Holder rewards and funds to build us a great foundation of tools that the DAO can use to achieve max Hype and Success for the game and itself in the next Bull run 27/28. ",
3/5/2026 5:17:53,DeFiJonas,9985,https://x.com/DeFiJonas,"In the past the DAO has tried to be a hybrid vehicle that caters to both investors and gamers. However the past years has shown that, in this structure, it becomes very hard to get things one. I think the DAOry needs to pick a side and choosing the gamer side will be the way to go. However, of course, while making sure the early investors do not get left alone in the mud.","Finance & Investment: Tasked with maximizing yields, identifying investment opportunities, and financial planning.","I have been with Aurory since mint and with Daory since the first election. I have been Head of Council now for multiple mandates. I think this coming term will be the most important one in the Daory's history, because we need to unify the holders and go further with one purpose: assist the team in growing the Aurory gamer user base.",
3/8/2026 15:28:39,degenzard,8368,https://x.com/DeGen_Zard,"My vision for the DAOry is to empower its community of holders while building sustainable revenue streams that support the DAO long term.

I want to grow the DAOry into one of the strongest DAOs within the Solana ecosystem by focusing on both innovation and community. The holders are not just observers, they are part of the DAO itself. By maintaining a community first mindset, we ensure that every voice has the opportunity to contribute to the direction and growth of the DAOry.

During this period of Aurory’s development while we wait for the soft launch, it is especially important to maintain strong community engagement. Having PvP-focused leadership within the DAOry can help create events, initiatives, and discussions that keep the community excited, active, and invested in the future of the game and the DAO.

I also want to help bring greater visibility to the DAOry through content and clips. By building a strong online presence, we can introduce the DAOry to people who may have heard of us but are not yet part of the community. Increasing this visibility can help attract new members and strengthen the DAO’s position within the ecosystem.

Ultimately, my goal is to build a DAO that reflects the same passion and ambition that exists within the Aurory community. If we bring that enthusiasm and work together to grow the ecosystem, the DAOry can become one of the most impactful and respected DAOs on Solana.

Aurory has always been something I’ve been deeply passionate about, and I want to bring that same energy and commitment into the DAOry to help drive its success moving forward.
","Community & Outreach: Focused on brand expansion, social media strategies, gamer engagement, and event planning.","Experience and qualification 

My experience for the role of Community Lead for the DAOry comes from my consistent involvement in the Aurory community since November 2023. During that time, I have become one of the most active members within the Discord and the wider PvP community.

I have participated in most, if not all, tournaments hosted by the DAOry, while also organising and hosting my own tournaments since joining the community. These events have been designed to include players of all skill levels, ranging from one star only tournaments for beginners to full 1-5 star competitive formats for more experienced players.

Through these tournaments I have distributed a large amount of AURY in prizes, as well as additional rewards through giveaways for both participants and viewers who watch the tournaments live on stream. My goal with these events has always been to keep the community active, competitive, and engaged.

Alongside tournaments, I have also co-hosted Aurory Talks on Beccss’s streams, where we spoke with members of the Aurory team and DAOry councillors. These conversations helped highlight the people behind the project and allowed the community to better understand the roles and contributions that make the ecosystem work.

By building and supporting a PvP-focused community, I have developed a strong understanding of what players want from the game. I understand how players like to test strategies, push their limits, and compete while still maintaining a fun and welcoming environment.

Outside of community events, I have also been a content creator for nearly five years. I currently have some of the most viewed Aurory-related content created by a community member in the English-speaking space. I am also highly active on X, where I regularly engage with the community and help keep conversations about Aurory active.

Several current holders have mentioned that they discovered Aurory through my videos and later became part of the ecosystem. As a former Aurory Ambassador, I understand the responsibility of representing the project and ensuring the community feels engaged while also presenting the world of Aurory in an appealing way to new audiences.

Through videos, clips, livestreams, and social media engagement across multiple platforms, I aim to continuously bring new attention to Aurory while also helping people understand how they can become involved with the DAOry.

Finally, having previously served within the DAOry as an advisor, I already understand the responsibilities and expectations placed on council members. This experience has given me insight into how the DAO operates and how its strengths can be used effectively to support the community and the broader Aurory ecosystem.

Goals and approach 

My approach to the DAOry will always start with a community first mindset. The strength of any DAO comes from the people who support it, and my goal is to ensure that holders feel heard, valued, and involved in the direction of the DAO. By maintaining open communication and encouraging community participation, we can continue to build a strong and united holder base.

Another important goal is to help identify and support new revenue streams for the DAOry. Building sustainable income opportunities will help ensure the long term growth and stability of the DAO. By exploring creative initiatives and partnerships within the ecosystem and the community, we can continue to strengthen the DAO’s ability to support community activities and future development.

Promotion and visibility are also key parts of my approach. Through content creation, clips, and consistent social media activity, I aim to help bring more attention to the DAOry and introduce it to potential new members who may not yet be familiar with the community. Increasing awareness of the DAOry will help grow the holder base and strengthen its presence within the wider Aurory and Solana ecosystems.

I also want to continue finding new ways to keep the holder community engaged and enthusiastic. This can include tournaments, community events, discussions, and interactive initiatives that give members more opportunities to participate. Maintaining excitement and activity within the community is especially important during quieter periods.

Finally, I want to bring the same enthusiasm and passion I have always shown for Aurory into the DAOry. By channeling that energy into community initiatives, content, and engagement, I believe we can help grow the DAOry into one of the strongest and most respected DAOs within the Aurory ecosystem.
",
3/19/2026 9:49:25,metafi_,2741,https://x.com/metafi_,"I follow the Aurory development since the start and always saw it as the next potential leader in the blockchain gaming. I was happy to contribute to a project which combines my passions in the best way. I was proud to have the privilege to be a council member in the first 4 terms of the Daory council. We have put great foundations and it was an honor to participate in all of the discussions and decisions which the Council and the community initiated. 
I was the first Head of Finance of Daory and will be glad to return on the position with many new ideas for treasury management and optimization that we can offer to the community. Being one of the DAOs with the largest treasuries on Solana is big responsibility and we need responsible and trusted people to care for it. I believe this is the cycle where blockchain gaming finally will have a chance to shine and we should be ready to act fast on that.","Finance & Investment: Tasked with maximizing yields, identifying investment opportunities, and financial planning.","I have a mainly financial background with a passion for technology and software since I was kid.
Been good with numbers and Maths since child. I have a Master in finance, working in TradFi for more than 10 years in different roles mainly in the Risk Management field. 
Been in crypto since the start of 2017 and it quickly became my full time passion - first by trading the big swings of it then by deep-diving into the depths of decentralization and realizing how big of a paradigm shift this technology will be in our lives. In the years after that I learned all the specifics of the crypto space and started investing and participating into the building of various crypto projects. 
I also have good skin in the game here - having 41 well picked Aurorians which always keeps me to care for Daory :)
If elected to return at Finance department, I want to propose new strategies for treasury management and optimizing yields so we can be ready to meet the coming obstacles and challenges in the rollercoaster of the coming bull market.",
3/5/2026 5:36:07,Lmao,7452,https://www.linkedin.com/in/albertobarrosodeveloper/,"Helping reaching objectives, new ideas, friendships.","Infrastructure & Development: Responsible for website maintenance, on-chain solutions, and technological infrastructure.",Im a FullStack developer and currently work on a big company that uses really good and modern technologies. I build solutions and i have as well some personal projects where i try different things. Basically i like to work with technologies and it would be awesome to work / give ideas to Aurory. ,
3/5/2026 12:08:42,seububu,#244,https://www.youtube.com/@SeuBubu,"I want to help with decision-making so that DAOry can better support the Aurory project, and I also want to bring more visibility to DAOry. I have a very large community that is passionate about the game but has no idea what DAOry does. By being part of the council, I will help make this clearer through the reach I have with my YouTube channel, and I will also share my ideas to help build a stronger community and a stronger project.","Community & Outreach: Focused on brand expansion, social media strategies, gamer engagement, and event planning.","I have been following Aurory’s journey since the beginning, and I am the number one influencer in bringing people into the project. I have strong knowledge of social media and engagement, which allows me to bring the visibility that DAOry is looking for.",
3/5/2026 17:43:01,BardyGG,#1312,BardyGG (twitter),The ultimate guardian of the treasury,,,"Yes

Former Council, former SMM, business degree, accountant, large aurorian holder (100), large aury holder, active community contributor, professional shitposter :kekleo:"
3/12/2026 14:13:47,Aasupermani,6207,,"My vision for the DAO is a community that’s active, transparent, and focused on long-term growth. Decisions should benefit the ecosystem and the game, not hype or personal gain. I see the DAO as a place where proposals are debated openly, feedback is critical and constructive, and the community is empowered to participate.
You should vote for me because I don’t just show up for votes—I live and breathe the DAO and the game every day. I bring experience, consistency, and a grounded perspective that comes from being truly involved, not from the sidelines. I’ll challenge weak ideas, support initiatives that matter, and help the DAO grow in a real, sustainable way.
…And I might even go easy on you in PvP.",,,"I’ve been in the DAO and the game long enough to know how it really works. I’m active every day, follow proposals, join discussions, and give honest, feedback—never pushing my own agenda.
What I bring is experience, consistency, and a perspective from actually being in the game and the community day to day. I’ll challenge weak ideas, support proposals that matter, and help the DAO grow in a real, sustainable way. My goal is to make sure the DAO stays active, transparent, and focused on long-term growth that benefits the community and the game."
